{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65353096

UD: 7600    Gen: 657.2600   Fit: 0.2561283  Orgs: 100     
UD: 7700    Gen: 664.5700   Fit: 0.2571159  Orgs: 100     
UD: 7800    Gen: 671.7500   Fit: 0.2546522  Orgs: 100     
UD: 7900    Gen: 680.4600   Fit: 0.2647370  Orgs: 100     
UD: 8000    Gen: 688.7800   Fit: 0.2589754  Orgs: 100     
UD: 8100    Gen: 696.5300   Fit: 0.2614613  Orgs: 100     
UD: 8200    Gen: 705.5100   Fit: 0.2614152  Orgs: 100     
UD: 8300    Gen: 713.3500   Fit: 0.2605059  Orgs: 100     
UD: 8400    Gen: 722.0101   Fit: 0.2581021  Orgs: 99      
UD: 8500    Gen: 731.8800   Fit: 0.2473616  Orgs: 100     
UD: 8600    Gen: 740.4900   Fit: 0.2551464  Orgs: 100     
UD: 8700    Gen: 747.5800   Fit: 0.2517276  Orgs: 100     
UD: 8800    Gen: 755.7200   Fit: 0.2582155  Orgs: 100     
UD: 8900    Gen: 764.8600   Fit: 0.2594054  Orgs: 100     
UD: 9000    Gen: 772.4800   Fit: 0.2568626  Orgs: 100     
UD: 9100    Gen: 780.5700   Fit: 0.2568472  Orgs: 100     
UD: 9200    Gen: 789.5600   Fit: 0.2550001  Orgs: 100     
UD: 9300    Gen: 798.3900   Fit: 0.2513536  Orgs: 100     
UD: 9400    Gen: 807.1100   Fit: 0.2541762  Orgs: 100     
UD: 9500    Gen: 815.0300   Fit: 0.2576828  Orgs: 100     
UD: 9600    Gen: 823.5200   Fit: 0.2543607  Orgs: 100     
UD: 9700    Gen: 832.2700   Fit: 0.2534724  Orgs: 100     
UD: 9800    Gen: 841.0000   Fit: 0.2552505  Orgs: 100     
UD: 9900    Gen: 849.8990   Fit: 0.2524958  Orgs: 99      
UD: 10000   Gen: 858.6100   Fit: 0.2565433  Orgs: 100     
