{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 10, 'y': 10}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 66735718

UD: 7800    Gen: 824.2800   Fit: 6.614404   Orgs: 100     
UD: 7900    Gen: 834.9800   Fit: 6.259281   Orgs: 100     
UD: 8000    Gen: 846.9600   Fit: 6.135726   Orgs: 100     
UD: 8100    Gen: 857.8485   Fit: 5.712802   Orgs: 99      
UD: 8200    Gen: 868.7000   Fit: 7.089153   Orgs: 100     
UD: 8300    Gen: 879.0202   Fit: 6.106406   Orgs: 99      
UD: 8400    Gen: 889.4444   Fit: 6.204422   Orgs: 99      
UD: 8500    Gen: 900.4700   Fit: 6.247577   Orgs: 100     
UD: 8600    Gen: 912.0800   Fit: 6.360043   Orgs: 100     
UD: 8700    Gen: 922.6200   Fit: 5.818781   Orgs: 100     
UD: 8800    Gen: 933.0000   Fit: 6.619308   Orgs: 99      
UD: 8900    Gen: 943.2000   Fit: 6.471856   Orgs: 100     
UD: 9000    Gen: 952.8800   Fit: 6.837400   Orgs: 100     
UD: 9100    Gen: 964.2800   Fit: 6.959312   Orgs: 100     
UD: 9200    Gen: 973.5152   Fit: 6.626533   Orgs: 99      
UD: 9300    Gen: 983.1400   Fit: 7.057726   Orgs: 100     
UD: 9400    Gen: 993.6300   Fit: 6.600192   Orgs: 100     
UD: 9500    Gen: 1004.730   Fit: 7.192130   Orgs: 100     
UD: 9600    Gen: 1015.600   Fit: 6.411133   Orgs: 100     
UD: 9700    Gen: 1026.660   Fit: 6.381839   Orgs: 100     
UD: 9800    Gen: 1038.390   Fit: 5.690908   Orgs: 100     
UD: 9900    Gen: 1050.970   Fit: 10.98802   Orgs: 100     
UD: 10000   Gen: 1064.444   Fit: 10.35354   Orgs: 99      
