{'NOT': 1, 'NAND': 1, 'AND': 2, 'ORN': 2, 'OR': 3, 'ANDN': 3, 'NOR': 4, 'XOR': 4, 'EQU': 2}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 70802545
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 6.942857   Fit: 0.2475800  Orgs: 70      Spec: 27.86   SWst: 0.000 %  
UD: 200     Gen: 14.82552   Fit: 0.2438399  Orgs: 384     Spec: 28.83   SWst: 0.3819%  
UD: 300     Gen: 22.78766   Fit: 0.2443504  Orgs: 989     Spec: 26.35   SWst: 1.746 %  
UD: 400     Gen: 30.79083   Fit: 0.2460091  Orgs: 1941    Spec: 27.29   SWst: 2.287 %  
UD: 500     Gen: 38.81650   Fit: 0.2482554  Orgs: 3188    Spec: 25.69   SWst: 1.801 %  
UD: 600     Gen: 46.72674   Fit: 0.2495674  Orgs: 4794    Spec: 26.12   SWst: 2.031 %  
UD: 700     Gen: 54.71910   Fit: 0.2524863  Orgs: 6682    Spec: 25.73   SWst: 1.821 %  
UD: 800     Gen: 65.17556   Fit: 0.4610289  Orgs: 9347    Spec: 23.19   SWst: 1.674 %  
UD: 900     Gen: 92.43056   Fit: 2287.147   Orgs: 10700   Spec: 14.36   SWst: 0.9109%  
UD: 1000    Gen: 139.1669   Fit: 4.813482e+11  Orgs: 11539   Spec: 9.861   SWst: 0.5003%  
UD: 1100    Gen: 232.2647   Fit: 3.675104e+19  Orgs: 12797   Spec: 8.583   SWst: 0.4806%  
UD: 1200    Gen: 298.4995   Fit: 1.080469e+21  Orgs: 13515   Spec: 10.38   SWst: 0.5954%  
UD: 1300    Gen: 336.0044   Fit: 2.002382e+28  Orgs: 13722   Spec: 8.316   SWst: 0.4147%  
UD: 1400    Gen: 386.0474   Fit: 6.379329e+47  Orgs: 13831   Spec: 7.148   SWst: 0.3068%  
UD: 1500    Gen: 455.0901   Fit: 1.927489e+50  Orgs: 13866   Spec: 7.422   SWst: 0.4068%  
UD: 1600    Gen: 488.5500   Fit: 4.220955e+66  Orgs: 13868   Spec: 7.357   SWst: 0.2620%  
UD: 1700    Gen: 548.0188   Fit: 2.183384e+73  Orgs: 13873   Spec: 6.990   SWst: 0.3969%  
UD: 1800    Gen: 607.1710   Fit: 1.390304e+78  Orgs: 13865   Spec: 8.519   SWst: 0.2159%  
UD: 1900    Gen: 668.7746   Fit: 1.043511e+74  Orgs: 13871   Spec: 6.520   SWst: 0.3847%  
UD: 2000    Gen: 745.0728   Fit: 1.357463e+74  Orgs: 13866   Spec: 6.227   SWst: 0.3757%  
UD: 2100    Gen: 815.7843   Fit: 1.656033e+74  Orgs: 13863   Spec: 6.768   SWst: 0.3797%  
