{'NOT': 3, 'NAND': 3, 'AND': 2, 'ORN': 2, 'OR': 1, 'ANDN': 1, 'NOR': 4, 'XOR': 4, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 61593204
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.032787   Fit: 0.2383872  Orgs: 61      Spec: 29.18   SWst: 1.038 %  
UD: 200     Gen: 15.05981   Fit: 0.2409022  Orgs: 418     Spec: 28.08   SWst: 2.010 %  
UD: 300     Gen: 23.12851   Fit: 0.2429435  Orgs: 1105    Spec: 26.84   SWst: 2.486 %  
UD: 400     Gen: 31.13168   Fit: 0.2426003  Orgs: 2096    Spec: 27.04   SWst: 1.730 %  
UD: 500     Gen: 42.59766   Fit: 0.4435556  Orgs: 3169    Spec: 23.19   SWst: 2.567 %  
UD: 600     Gen: 92.13076   Fit: 5.861159   Orgs: 4711    Spec: 18.95   SWst: 2.085 %  
UD: 700     Gen: 130.3992   Fit: 9.094292   Orgs: 6676    Spec: 18.97   SWst: 2.148 %  
UD: 800     Gen: 161.3117   Fit: 12.74001   Orgs: 9087    Spec: 17.78   SWst: 2.511 %  
UD: 900     Gen: 186.2477   Fit: 16.52072   Orgs: 11099   Spec: 17.40   SWst: 2.085 %  
UD: 1000    Gen: 211.9903   Fit: 21.64573   Orgs: 12311   Spec: 17.04   SWst: 1.922 %  
UD: 1100    Gen: 240.9063   Fit: 27.39017   Orgs: 13563   Spec: 16.29   SWst: 2.248 %  
UD: 1200    Gen: 268.9434   Fit: 32.32159   Orgs: 14290   Spec: 16.56   SWst: 1.909 %  
UD: 1300    Gen: 294.6308   Fit: 37.84896   Orgs: 14379   Spec: 16.35   SWst: 1.866 %  
UD: 1400    Gen: 317.3981   Fit: 41.48119   Orgs: 14385   Spec: 16.03   SWst: 1.984 %  
UD: 1500    Gen: 340.2391   Fit: 45.76420   Orgs: 14386   Spec: 15.75   SWst: 2.144 %  
UD: 1600    Gen: 361.1750   Fit: 48.84402   Orgs: 14377   Spec: 15.96   SWst: 1.926 %  
UD: 1700    Gen: 379.2595   Fit: 51.51536   Orgs: 14387   Spec: 15.92   SWst: 1.930 %  
UD: 1800    Gen: 396.8710   Fit: 53.60194   Orgs: 14386   Spec: 15.68   SWst: 1.817 %  
UD: 1900    Gen: 413.6956   Fit: 55.69070   Orgs: 14380   Spec: 15.92   SWst: 1.934 %  
UD: 2000    Gen: 428.0606   Fit: 60.29573   Orgs: 14386   Spec: 15.56   SWst: 2.149 %  
UD: 2100    Gen: 441.5504   Fit: 67.21867   Orgs: 14385   Spec: 15.31   SWst: 1.802 %  
UD: 2200    Gen: 456.9517   Fit: 78.81306   Orgs: 14383   Spec: 15.23   SWst: 1.996 %  
UD: 2300    Gen: 474.8596   Fit: 91.35451   Orgs: 14384   Spec: 15.13   SWst: 1.762 %  
UD: 2400    Gen: 494.1700   Fit: 104.4788   Orgs: 14380   Spec: 14.97   SWst: 2.122 %  
UD: 2500    Gen: 515.5834   Fit: 118.5406   Orgs: 14383   Spec: 15.11   SWst: 1.708 %  
UD: 2600    Gen: 539.3597   Fit: 155.9147   Orgs: 14385   Spec: 14.34   SWst: 2.105 %  
UD: 2700    Gen: 570.1886   Fit: 237.2682   Orgs: 14385   Spec: 14.12   SWst: 2.197 %  
UD: 2800    Gen: 605.6015   Fit: 322.4347   Orgs: 14380   Spec: 14.56   SWst: 1.916 %  
UD: 2900    Gen: 644.6022   Fit: 403.6927   Orgs: 14386   Spec: 14.23   SWst: 2.056 %  
UD: 3000    Gen: 683.8349   Fit: 484.2776   Orgs: 14388   Spec: 14.01   SWst: 2.036 %  
UD: 3100    Gen: 722.2533   Fit: 560.1393   Orgs: 14374   Spec: 14.65   SWst: 1.973 %  
UD: 3200    Gen: 759.1777   Fit: 627.9586   Orgs: 14381   Spec: 14.35   SWst: 2.119 %  
UD: 3300    Gen: 792.0236   Fit: 683.7489   Orgs: 14377   Spec: 14.41   SWst: 1.968 %  
UD: 3400    Gen: 822.5637   Fit: 736.4166   Orgs: 14386   Spec: 14.25   SWst: 2.174 %  
UD: 3500    Gen: 848.7255   Fit: 778.1400   Orgs: 14376   Spec: 14.15   SWst: 1.983 %  
UD: 3600    Gen: 870.9894   Fit: 826.1480   Orgs: 14380   Spec: 14.39   SWst: 1.968 %  
UD: 3700    Gen: 889.7411   Fit: 848.5861   Orgs: 14382   Spec: 14.13   SWst: 2.202 %  
UD: 3800    Gen: 907.0290   Fit: 871.3553   Orgs: 14382   Spec: 14.42   SWst: 2.171 %  
UD: 3900    Gen: 924.1929   Fit: 897.2820   Orgs: 14382   Spec: 14.23   SWst: 1.976 %  
UD: 4000    Gen: 938.9336   Fit: 896.7294   Orgs: 14386   Spec: 14.29   SWst: 1.965 %  
UD: 4100    Gen: 951.8083   Fit: 903.7147   Orgs: 14384   Spec: 14.29   SWst: 1.843 %  
UD: 4200    Gen: 964.7932   Fit: 919.2428   Orgs: 14384   Spec: 14.11   SWst: 2.019 %  
UD: 4300    Gen: 976.9107   Fit: 932.2326   Orgs: 14386   Spec: 13.91   SWst: 1.818 %  
UD: 4400    Gen: 991.0634   Fit: 936.4705   Orgs: 14377   Spec: 14.47   SWst: 1.956 %  
UD: 4500    Gen: 1005.289   Fit: 944.5495   Orgs: 14381   Spec: 13.71   SWst: 2.188 %  
UD: 4600    Gen: 1020.981   Fit: 954.2779   Orgs: 14384   Spec: 13.80   SWst: 2.132 %  
UD: 4700    Gen: 1037.067   Fit: 972.3798   Orgs: 14387   Spec: 13.15   SWst: 1.975 %  
UD: 4800    Gen: 1052.194   Fit: 988.3250   Orgs: 14388   Spec: 13.35   SWst: 2.156 %  
UD: 4900    Gen: 1068.536   Fit: 1000.141   Orgs: 14389   Spec: 13.44   SWst: 2.191 %  
UD: 5000    Gen: 1084.904   Fit: 1024.846   Orgs: 14387   Spec: 14.07   SWst: 2.084 %  
UD: 5100    Gen: 1101.690   Fit: 1044.129   Orgs: 14386   Spec: 13.79   SWst: 2.110 %  
UD: 5200    Gen: 1119.571   Fit: 1051.189   Orgs: 14385   Spec: 13.07   SWst: 2.091 %  
UD: 5300    Gen: 1137.844   Fit: 1065.650   Orgs: 14385   Spec: 13.28   SWst: 2.329 %  
UD: 5400    Gen: 1156.025   Fit: 1077.805   Orgs: 14391   Spec: 13.01   SWst: 2.230 %  
UD: 5500    Gen: 1174.461   Fit: 1098.273   Orgs: 14391   Spec: 13.12   SWst: 2.100 %  
UD: 5600    Gen: 1193.383   Fit: 1140.021   Orgs: 14386   Spec: 12.69   SWst: 2.103 %  
UD: 5700    Gen: 1215.729   Fit: 1367.747   Orgs: 14387   Spec: 13.06   SWst: 2.376 %  
UD: 5800    Gen: 1243.256   Fit: 1707.916   Orgs: 14382   Spec: 13.06   SWst: 2.378 %  
UD: 5900    Gen: 1274.635   Fit: 2070.347   Orgs: 14383   Spec: 13.07   SWst: 2.330 %  
UD: 6000    Gen: 1307.268   Fit: 2421.987   Orgs: 14387   Spec: 13.30   SWst: 2.298 %  
UD: 6100    Gen: 1340.535   Fit: 2793.839   Orgs: 14380   Spec: 12.87   SWst: 2.247 %  
UD: 6200    Gen: 1375.980   Fit: 3204.483   Orgs: 14382   Spec: 12.68   SWst: 2.132 %  
UD: 6300    Gen: 1413.925   Fit: 3561.686   Orgs: 14382   Spec: 13.19   SWst: 2.178 %  
UD: 6400    Gen: 1449.837   Fit: 3867.063   Orgs: 14387   Spec: 12.66   SWst: 2.236 %  
UD: 6500    Gen: 1481.759   Fit: 4153.614   Orgs: 14381   Spec: 12.84   SWst: 2.323 %  
UD: 6600    Gen: 1507.848   Fit: 4339.052   Orgs: 14388   Spec: 12.52   SWst: 2.303 %  
UD: 6700    Gen: 1529.107   Fit: 4421.040   Orgs: 14380   Spec: 12.74   SWst: 2.287 %  
UD: 6800    Gen: 1548.730   Fit: 4451.494   Orgs: 14391   Spec: 12.87   SWst: 2.247 %  
UD: 6900    Gen: 1566.082   Fit: 4489.177   Orgs: 14385   Spec: 12.72   SWst: 2.420 %  
UD: 7000    Gen: 1581.515   Fit: 4497.890   Orgs: 14383   Spec: 12.80   SWst: 2.294 %  
UD: 7100    Gen: 1596.894   Fit: 4502.909   Orgs: 14387   Spec: 12.55   SWst: 2.351 %  
UD: 7200    Gen: 1612.186   Fit: 4507.555   Orgs: 14386   Spec: 12.61   SWst: 2.350 %  
UD: 7300    Gen: 1627.542   Fit: 4517.964   Orgs: 14386   Spec: 11.98   SWst: 2.379 %  
UD: 7400    Gen: 1643.079   Fit: 4529.182   Orgs: 14380   Spec: 12.16   SWst: 2.283 %  
UD: 7500    Gen: 1659.011   Fit: 4639.604   Orgs: 14383   Spec: 12.20   SWst: 2.318 %  
UD: 7600    Gen: 1675.319   Fit: 4710.798   Orgs: 14385   Spec: 11.67   SWst: 2.082 %  
UD: 7700    Gen: 1691.989   Fit: 4834.365   Orgs: 14382   Spec: 11.45   SWst: 2.210 %  
UD: 7800    Gen: 1709.470   Fit: 4939.677   Orgs: 14385   Spec: 11.35   SWst: 2.379 %  
UD: 7900    Gen: 1728.335   Fit: 5102.983   Orgs: 14386   Spec: 11.44   SWst: 2.422 %  
UD: 8000    Gen: 1748.872   Fit: 5370.108   Orgs: 14382   Spec: 11.39   SWst: 2.250 %  
UD: 8100    Gen: 1769.942   Fit: 5621.835   Orgs: 14380   Spec: 10.93   SWst: 2.020 %  
UD: 8200    Gen: 1791.467   Fit: 5831.051   Orgs: 14381   Spec: 11.26   SWst: 2.335 %  
UD: 8300    Gen: 1813.505   Fit: 6014.090   Orgs: 14382   Spec: 10.89   SWst: 2.041 %  
UD: 8400    Gen: 1835.925   Fit: 6242.249   Orgs: 14377   Spec: 11.05   SWst: 2.204 %  
UD: 8500    Gen: 1860.180   Fit: 6458.985   Orgs: 14371   Spec: 10.79   SWst: 2.355 %  
UD: 8600    Gen: 1884.824   Fit: 6663.108   Orgs: 14371   Spec: 11.15   SWst: 2.170 %  
UD: 8700    Gen: 1911.967   Fit: 7085.732   Orgs: 14375   Spec: 11.29   SWst: 2.146 %  
UD: 8800    Gen: 1939.290   Fit: 7258.249   Orgs: 14377   Spec: 10.91   SWst: 2.094 %  
UD: 8900    Gen: 1966.824   Fit: 7679.793   Orgs: 14380   Spec: 10.84   SWst: 2.286 %  
UD: 9000    Gen: 1990.929   Fit: 7762.708   Orgs: 14384   Spec: 11.34   SWst: 2.173 %  
UD: 9100    Gen: 2013.906   Fit: 7885.718   Orgs: 14371   Spec: 10.98   SWst: 2.169 %  
UD: 9200    Gen: 2037.157   Fit: 8040.384   Orgs: 14380   Spec: 11.43   SWst: 2.139 %  
UD: 9300    Gen: 2057.584   Fit: 8145.335   Orgs: 14384   Spec: 11.16   SWst: 2.134 %  
UD: 9400    Gen: 2077.862   Fit: 8350.841   Orgs: 14375   Spec: 11.40   SWst: 2.072 %  
UD: 9500    Gen: 2097.990   Fit: 8369.341   Orgs: 14379   Spec: 11.19   SWst: 2.159 %  
