{'NOT': 3, 'NAND': 3, 'AND': 1, 'ORN': 1, 'OR': 2, 'ANDN': 2, 'NOR': 4, 'XOR': 4, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 64753898
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.092593   Fit: 0.2443575  Orgs: 54      Spec: 19.96   SWst: 1.235 %  
UD: 200     Gen: 15.06838   Fit: 0.2432144  Orgs: 351     Spec: 27.50   SWst: 1.339 %  
UD: 300     Gen: 23.07841   Fit: 0.2435054  Orgs: 931     Spec: 25.69   SWst: 2.367 %  
UD: 400     Gen: 30.96423   Fit: 0.2443731  Orgs: 1817    Spec: 26.98   SWst: 1.768 %  
UD: 500     Gen: 38.83016   Fit: 0.2447902  Orgs: 2991    Spec: 26.08   SWst: 1.589 %  
UD: 600     Gen: 46.57020   Fit: 0.2464633  Orgs: 4416    Spec: 25.73   SWst: 1.732 %  
UD: 700     Gen: 62.10382   Fit: 1.578714   Orgs: 5866    Spec: 21.17   SWst: 1.783 %  
UD: 800     Gen: 99.25030   Fit: 5.441678   Orgs: 6620    Spec: 20.25   SWst: 1.940 %  
UD: 900     Gen: 131.1362   Fit: 8.259590   Orgs: 8253    Spec: 20.35   SWst: 1.826 %  
UD: 1000    Gen: 157.3390   Fit: 10.36502   Orgs: 10229   Spec: 19.39   SWst: 2.019 %  
UD: 1100    Gen: 178.8845   Fit: 12.17777   Orgs: 11964   Spec: 19.15   SWst: 1.660 %  
UD: 1200    Gen: 198.1870   Fit: 13.68574   Orgs: 13104   Spec: 18.64   SWst: 1.896 %  
UD: 1300    Gen: 217.1531   Fit: 14.94819   Orgs: 13913   Spec: 18.38   SWst: 1.916 %  
UD: 1400    Gen: 234.4770   Fit: 16.20830   Orgs: 14282   Spec: 18.73   SWst: 1.696 %  
UD: 1500    Gen: 249.3438   Fit: 17.18777   Orgs: 14380   Spec: 18.42   SWst: 1.795 %  
UD: 1600    Gen: 263.7285   Fit: 18.70491   Orgs: 14380   Spec: 18.45   SWst: 1.684 %  
UD: 1700    Gen: 277.0857   Fit: 20.34200   Orgs: 14382   Spec: 17.74   SWst: 1.760 %  
UD: 1800    Gen: 290.7396   Fit: 21.83221   Orgs: 14382   Spec: 17.59   SWst: 1.994 %  
UD: 1900    Gen: 303.5573   Fit: 24.04446   Orgs: 14379   Spec: 17.48   SWst: 1.712 %  
UD: 2000    Gen: 317.6705   Fit: 27.49172   Orgs: 14381   Spec: 17.67   SWst: 1.870 %  
UD: 2100    Gen: 337.9377   Fit: 51.06221   Orgs: 14374   Spec: 15.20   SWst: 1.509 %  
UD: 2200    Gen: 368.3976   Fit: 86.82483   Orgs: 14381   Spec: 14.53   SWst: 1.479 %  
UD: 2300    Gen: 405.7550   Fit: 123.9529   Orgs: 14378   Spec: 14.22   SWst: 1.412 %  
UD: 2400    Gen: 440.3986   Fit: 157.8141   Orgs: 14374   Spec: 15.37   SWst: 1.241 %  
UD: 2500    Gen: 477.1068   Fit: 187.8600   Orgs: 14376   Spec: 13.90   SWst: 1.412 %  
UD: 2600    Gen: 509.6608   Fit: 219.0097   Orgs: 14377   Spec: 14.51   SWst: 1.366 %  
UD: 2700    Gen: 544.6869   Fit: 249.2573   Orgs: 14386   Spec: 14.36   SWst: 1.325 %  
UD: 2800    Gen: 577.8573   Fit: 276.0632   Orgs: 14375   Spec: 14.05   SWst: 1.569 %  
UD: 2900    Gen: 607.6884   Fit: 301.2674   Orgs: 14372   Spec: 14.28   SWst: 1.252 %  
UD: 3000    Gen: 633.3572   Fit: 320.3138   Orgs: 14377   Spec: 14.17   SWst: 1.422 %  
UD: 3100    Gen: 655.1407   Fit: 332.1443   Orgs: 14373   Spec: 14.42   SWst: 1.357 %  
UD: 3200    Gen: 675.9860   Fit: 340.8832   Orgs: 14375   Spec: 14.30   SWst: 1.279 %  
UD: 3300    Gen: 693.7922   Fit: 351.3214   Orgs: 14376   Spec: 13.77   SWst: 1.476 %  
UD: 3400    Gen: 710.0060   Fit: 357.2323   Orgs: 14375   Spec: 14.69   SWst: 1.397 %  
UD: 3500    Gen: 725.4109   Fit: 358.6287   Orgs: 14379   Spec: 13.82   SWst: 1.519 %  
UD: 3600    Gen: 740.3587   Fit: 368.6054   Orgs: 14375   Spec: 13.74   SWst: 1.419 %  
UD: 3700    Gen: 753.4107   Fit: 374.9747   Orgs: 14379   Spec: 14.29   SWst: 1.336 %  
UD: 3800    Gen: 765.6174   Fit: 376.9046   Orgs: 14373   Spec: 14.02   SWst: 1.499 %  
UD: 3900    Gen: 776.0003   Fit: 383.4430   Orgs: 14377   Spec: 13.93   SWst: 1.418 %  
UD: 4000    Gen: 785.7754   Fit: 386.2843   Orgs: 14375   Spec: 14.03   SWst: 1.296 %  
UD: 4100    Gen: 795.8311   Fit: 395.4971   Orgs: 14371   Spec: 13.57   SWst: 1.661 %  
