{'NOT': 3, 'NAND': 3, 'AND': 2, 'ORN': 2, 'OR': 4, 'ANDN': 4, 'NOR': 1, 'XOR': 1, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 70093068
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.054545   Fit: 0.2456185  Orgs: 55      Spec: 29.15   SWst: 3.394 %  
UD: 200     Gen: 14.94262   Fit: 0.2478706  Orgs: 366     Spec: 28.41   SWst: 1.148 %  
UD: 300     Gen: 22.94869   Fit: 0.2465589  Orgs: 994     Spec: 26.94   SWst: 2.036 %  
UD: 400     Gen: 30.94160   Fit: 0.2471540  Orgs: 1935    Spec: 26.41   SWst: 2.563 %  
UD: 500     Gen: 38.92209   Fit: 0.2478508  Orgs: 3132    Spec: 26.29   SWst: 2.023 %  
UD: 600     Gen: 47.01276   Fit: 0.2498886  Orgs: 4704    Spec: 26.24   SWst: 1.988 %  
UD: 700     Gen: 62.50014   Fit: 0.8484730  Orgs: 7224    Spec: 21.62   SWst: 1.890 %  
UD: 800     Gen: 93.58242   Fit: 4.229602   Orgs: 9081    Spec: 18.93   SWst: 1.809 %  
UD: 900     Gen: 128.0886   Fit: 6.929650   Orgs: 11005   Spec: 18.97   SWst: 1.825 %  
UD: 1000    Gen: 160.3591   Fit: 32.41861   Orgs: 12224   Spec: 17.60   SWst: 1.768 %  
UD: 1100    Gen: 211.9884   Fit: 917.6018   Orgs: 12399   Spec: 15.02   SWst: 1.615 %  
UD: 1200    Gen: 288.0871   Fit: 3069.560   Orgs: 12487   Spec: 14.77   SWst: 1.564 %  
UD: 1300    Gen: 373.6156   Fit: 5173.148   Orgs: 13074   Spec: 14.87   SWst: 1.591 %  
UD: 1400    Gen: 447.8453   Fit: 6709.989   Orgs: 13387   Spec: 15.07   SWst: 1.304 %  
UD: 1500    Gen: 515.9550   Fit: 8262.257   Orgs: 13810   Spec: 14.42   SWst: 1.450 %  
UD: 1600    Gen: 577.6245   Fit: 9477.995   Orgs: 14231   Spec: 15.25   SWst: 1.480 %  
UD: 1700    Gen: 634.2985   Fit: 10420.88   Orgs: 14376   Spec: 15.16   SWst: 1.401 %  
UD: 1800    Gen: 677.3621   Fit: 11375.89   Orgs: 14376   Spec: 14.98   SWst: 1.548 %  
UD: 1900    Gen: 704.9672   Fit: 11621.60   Orgs: 14370   Spec: 15.40   SWst: 1.444 %  
UD: 2000    Gen: 726.0516   Fit: 11997.33   Orgs: 14376   Spec: 15.16   SWst: 1.590 %  
UD: 2100    Gen: 742.8375   Fit: 12336.93   Orgs: 14382   Spec: 15.20   SWst: 1.416 %  
UD: 2200    Gen: 756.4594   Fit: 12438.48   Orgs: 14383   Spec: 15.03   SWst: 1.582 %  
UD: 2300    Gen: 768.5190   Fit: 12431.51   Orgs: 14376   Spec: 15.13   SWst: 1.636 %  
UD: 2400    Gen: 780.1001   Fit: 12494.34   Orgs: 14379   Spec: 15.14   SWst: 1.515 %  
UD: 2500    Gen: 791.9683   Fit: 12776.45   Orgs: 14380   Spec: 15.47   SWst: 1.655 %  
UD: 2600    Gen: 803.9338   Fit: 12998.42   Orgs: 14371   Spec: 14.87   SWst: 1.540 %  
UD: 2700    Gen: 816.2226   Fit: 13389.05   Orgs: 14375   Spec: 14.99   SWst: 1.582 %  
UD: 2800    Gen: 830.3652   Fit: 13706.84   Orgs: 14369   Spec: 14.78   SWst: 1.621 %  
UD: 2900    Gen: 845.6685   Fit: 14518.74   Orgs: 14375   Spec: 14.73   SWst: 1.561 %  
