{'NOT': 3, 'NAND': 3, 'AND': 2, 'ORN': 2, 'OR': 4, 'ANDN': 4, 'NOR': 1, 'XOR': 1, 'EQU': 5}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 76665254
Data Directory: /Users/albertzhang/GitHub/avida/cbuild_changed/work/data/

UD: 0       Gen: 0.000000   Fit: 0.000000   Orgs: 1       Spec: 32.00   SWst: 0.000 %  
UD: 100     Gen: 7.500000   Fit: 0.2507510  Orgs: 64      Spec: 21.52   SWst: 4.479 %  
UD: 200     Gen: 15.00000   Fit: 0.2478696  Orgs: 339     Spec: 28.34   SWst: 0.8850%  
UD: 300     Gen: 22.83695   Fit: 0.2500899  Orgs: 969     Spec: 27.03   SWst: 1.438 %  
UD: 400     Gen: 36.82375   Fit: 0.8420400  Orgs: 2139    Spec: 24.54   SWst: 1.261 %  
UD: 500     Gen: 57.72865   Fit: 4.194567   Orgs: 3291    Spec: 20.84   SWst: 1.800 %  
UD: 600     Gen: 83.18498   Fit: 8.576239   Orgs: 5141    Spec: 20.56   SWst: 1.478 %  
UD: 700     Gen: 105.7822   Fit: 14.55006   Orgs: 7094    Spec: 19.80   SWst: 1.885 %  
UD: 800     Gen: 129.5187   Fit: 23.34953   Orgs: 8482    Spec: 19.17   SWst: 1.634 %  
UD: 900     Gen: 157.2176   Fit: 33.99362   Orgs: 9468    Spec: 18.08   SWst: 2.079 %  
UD: 1000    Gen: 185.0183   Fit: 43.45120   Orgs: 10413   Spec: 17.88   SWst: 2.096 %  
UD: 1100    Gen: 226.1753   Fit: 117.8552   Orgs: 11834   Spec: 17.06   SWst: 1.790 %  
UD: 1200    Gen: 289.1112   Fit: 416.6184   Orgs: 14079   Spec: 16.85   SWst: 1.843 %  
UD: 1300    Gen: 344.5803   Fit: 1903.960   Orgs: 14370   Spec: 15.65   SWst: 1.942 %  
UD: 1400    Gen: 400.2344   Fit: 4402.490   Orgs: 14382   Spec: 14.82   SWst: 2.002 %  
UD: 1500    Gen: 451.2685   Fit: 6062.020   Orgs: 14381   Spec: 15.14   SWst: 1.931 %  
UD: 1600    Gen: 504.7343   Fit: 7458.207   Orgs: 14375   Spec: 14.85   SWst: 1.792 %  
UD: 1700    Gen: 557.8506   Fit: 8880.983   Orgs: 14375   Spec: 14.62   SWst: 1.812 %  
UD: 1800    Gen: 606.0967   Fit: 10149.15   Orgs: 14379   Spec: 14.46   SWst: 1.990 %  
UD: 1900    Gen: 649.2705   Fit: 11101.50   Orgs: 14373   Spec: 14.95   SWst: 1.921 %  
UD: 2000    Gen: 681.1490   Fit: 11847.91   Orgs: 14370   Spec: 14.36   SWst: 1.914 %  
