{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65514454
Data Directory: /Users/albertzhang/GitHub/avida/cbuild/work/data/

UD: 4600    Gen: 365.4000   Fit: 0.2605536  Orgs: 25      Merit: 106.2400   Thrd: 25      Para: 0  
UD: 4700    Gen: 372.2000   Fit: 0.2597888  Orgs: 25      Merit: 116.2000   Thrd: 25      Para: 0  
UD: 4800    Gen: 378.4800   Fit: 0.2609558  Orgs: 25      Merit: 121.8800   Thrd: 25      Para: 0  
UD: 4900    Gen: 385.4400   Fit: 0.2614466  Orgs: 25      Merit: 123.4000   Thrd: 25      Para: 0  
UD: 5000    Gen: 391.3600   Fit: 0.2604036  Orgs: 25      Merit: 134.4800   Thrd: 25      Para: 0  
UD: 5100    Gen: 397.3200   Fit: 0.2560447  Orgs: 25      Merit: 134.4400   Thrd: 25      Para: 0  
UD: 5200    Gen: 403.0000   Fit: 0.2539362  Orgs: 25      Merit: 137.4800   Thrd: 25      Para: 0  
UD: 5300    Gen: 408.2800   Fit: 0.2593776  Orgs: 25      Merit: 142.0400   Thrd: 25      Para: 0  
UD: 5400    Gen: 414.3600   Fit: 0.2501742  Orgs: 25      Merit: 135.8000   Thrd: 25      Para: 0  
UD: 5500    Gen: 419.3600   Fit: 0.2540210  Orgs: 25      Merit: 139.7200   Thrd: 25      Para: 0  
UD: 5600    Gen: 425.2500   Fit: 0.2564473  Orgs: 24      Merit: 139.8750   Thrd: 24      Para: 0  
UD: 5700    Gen: 431.0800   Fit: 0.2559691  Orgs: 25      Merit: 142.6800   Thrd: 25      Para: 0  
UD: 5800    Gen: 436.2000   Fit: 0.2572255  Orgs: 25      Merit: 143.3600   Thrd: 25      Para: 0  
UD: 5900    Gen: 441.9600   Fit: 0.2534063  Orgs: 25      Merit: 141.8400   Thrd: 25      Para: 0  
UD: 6000    Gen: 448.0400   Fit: 0.2562212  Orgs: 25      Merit: 139.1600   Thrd: 25      Para: 0  
UD: 6100    Gen: 454.1600   Fit: 0.2878946  Orgs: 25      Merit: 141.6400   Thrd: 25      Para: 0  
UD: 6200    Gen: 459.4000   Fit: 0.2583552  Orgs: 25      Merit: 141.3600   Thrd: 25      Para: 0  
UD: 6300    Gen: 464.9200   Fit: 0.2648526  Orgs: 25      Merit: 141.3600   Thrd: 25      Para: 0  
UD: 6400    Gen: 470.6400   Fit: 0.2575181  Orgs: 25      Merit: 140.6400   Thrd: 25      Para: 0  
UD: 6500    Gen: 475.7200   Fit: 0.2567553  Orgs: 25      Merit: 140.7200   Thrd: 25      Para: 0  
UD: 6600    Gen: 481.5600   Fit: 0.2404372  Orgs: 25      Merit: 129.6000   Thrd: 25      Para: 0  
UD: 6700    Gen: 487.4800   Fit: 0.2564914  Orgs: 25      Merit: 140.4800   Thrd: 25      Para: 0  
UD: 6800    Gen: 492.8800   Fit: 0.2525006  Orgs: 25      Merit: 137.3200   Thrd: 25      Para: 0  
UD: 6900    Gen: 498.4800   Fit: 0.2576892  Orgs: 25      Merit: 136.5200   Thrd: 25      Para: 0  
UD: 7000    Gen: 503.9600   Fit: 0.2548729  Orgs: 25      Merit: 141.1200   Thrd: 25      Para: 0  
UD: 7100    Gen: 509.0400   Fit: 0.2552818  Orgs: 25      Merit: 141.7600   Thrd: 25      Para: 0  
UD: 7200    Gen: 514.8000   Fit: 0.2496768  Orgs: 25      Merit: 140.1600   Thrd: 25      Para: 0  
UD: 7300    Gen: 519.8000   Fit: 0.2563682  Orgs: 25      Merit: 144.4400   Thrd: 25      Para: 0  
UD: 7400    Gen: 525.9200   Fit: 0.2555162  Orgs: 25      Merit: 144.3600   Thrd: 25      Para: 0  
UD: 7500    Gen: 530.8800   Fit: 0.2480214  Orgs: 25      Merit: 138.1200   Thrd: 25      Para: 0  
UD: 7600    Gen: 536.4800   Fit: 0.2480459  Orgs: 25      Merit: 140.3600   Thrd: 25      Para: 0  
UD: 7700    Gen: 541.8400   Fit: 0.2464845  Orgs: 25      Merit: 137.4800   Thrd: 25      Para: 0  
UD: 7800    Gen: 547.0000   Fit: 0.2480336  Orgs: 25      Merit: 137.5200   Thrd: 25      Para: 0  
UD: 7900    Gen: 552.7600   Fit: 0.2417823  Orgs: 25      Merit: 139.8800   Thrd: 25      Para: 0  
UD: 8000    Gen: 557.7200   Fit: 0.2468091  Orgs: 25      Merit: 137.0800   Thrd: 25      Para: 0  
UD: 8100    Gen: 563.2000   Fit: 0.2432577  Orgs: 25      Merit: 137.3600   Thrd: 25      Para: 0  
UD: 8200    Gen: 568.7200   Fit: 0.2532205  Orgs: 25      Merit: 143.8000   Thrd: 25      Para: 0  
UD: 8300    Gen: 573.7600   Fit: 0.2532899  Orgs: 25      Merit: 143.6800   Thrd: 25      Para: 0  
UD: 8400    Gen: 579.3600   Fit: 0.2507595  Orgs: 25      Merit: 139.1600   Thrd: 25      Para: 0  
UD: 8500    Gen: 584.5600   Fit: 0.2513090  Orgs: 25      Merit: 141.2800   Thrd: 25      Para: 0  
UD: 8600    Gen: 589.8800   Fit: 0.2447111  Orgs: 25      Merit: 138.0800   Thrd: 25      Para: 0  
UD: 8700    Gen: 595.0000   Fit: 0.2452654  Orgs: 25      Merit: 136.7600   Thrd: 25      Para: 0  
UD: 8800    Gen: 601.2800   Fit: 0.2526802  Orgs: 25      Merit: 141.1200   Thrd: 25      Para: 0  
UD: 8900    Gen: 606.9200   Fit: 0.2521120  Orgs: 25      Merit: 140.2800   Thrd: 25      Para: 0  
UD: 9000    Gen: 612.0800   Fit: 0.2523443  Orgs: 25      Merit: 141.3200   Thrd: 25      Para: 0  
UD: 9100    Gen: 617.4000   Fit: 0.2494441  Orgs: 25      Merit: 141.3600   Thrd: 25      Para: 0  
UD: 9200    Gen: 623.0800   Fit: 0.2522371  Orgs: 25      Merit: 142.4000   Thrd: 25      Para: 0  
UD: 9300    Gen: 628.4000   Fit: 0.2535866  Orgs: 25      Merit: 142.0400   Thrd: 25      Para: 0  
UD: 9400    Gen: 633.7600   Fit: 0.2527448  Orgs: 25      Merit: 146.3200   Thrd: 25      Para: 0  
UD: 9500    Gen: 638.9200   Fit: 0.2522331  Orgs: 25      Merit: 147.8400   Thrd: 25      Para: 0  
UD: 9600    Gen: 643.7500   Fit: 0.2320882  Orgs: 24      Merit: 136.1250   Thrd: 24      Para: 0  
UD: 9700    Gen: 649.6800   Fit: 0.2538529  Orgs: 25      Merit: 147.2800   Thrd: 25      Para: 0  
UD: 9800    Gen: 654.2400   Fit: 0.2366185  Orgs: 25      Merit: 150.9600   Thrd: 25      Para: 0  
UD: 9900    Gen: 659.2000   Fit: 0.2475564  Orgs: 25      Merit: 148.7200   Thrd: 25      Para: 0  
UD: 10000   Gen: 663.7200   Fit: 0.2501620  Orgs: 25      Merit: 161.0800   Thrd: 25      Para: 0  
