{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 5, 'y': 5}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 65309623

UD: 7600    Gen: 643.0300   Fit: 0.2554713  Orgs: 100     
UD: 7700    Gen: 651.8700   Fit: 0.2526669  Orgs: 100     
UD: 7800    Gen: 660.6000   Fit: 0.2530759  Orgs: 100     
UD: 7900    Gen: 668.9700   Fit: 0.2530688  Orgs: 100     
UD: 8000    Gen: 677.4848   Fit: 0.2539625  Orgs: 99      
UD: 8100    Gen: 686.4300   Fit: 0.2524376  Orgs: 100     
UD: 8200    Gen: 695.0300   Fit: 0.2524120  Orgs: 100     
UD: 8300    Gen: 703.7400   Fit: 0.2519306  Orgs: 100     
UD: 8400    Gen: 712.2800   Fit: 0.2506212  Orgs: 100     
UD: 8500    Gen: 721.1600   Fit: 0.2543437  Orgs: 100     
UD: 8600    Gen: 729.9600   Fit: 0.2564095  Orgs: 100     
UD: 8700    Gen: 738.7900   Fit: 0.2525641  Orgs: 100     
UD: 8800    Gen: 747.7800   Fit: 0.2482257  Orgs: 100     
UD: 8900    Gen: 757.3030   Fit: 0.2536809  Orgs: 99      
UD: 9000    Gen: 765.8200   Fit: 0.2513724  Orgs: 100     
UD: 9100    Gen: 774.4100   Fit: 0.2517399  Orgs: 100     
UD: 9200    Gen: 782.9900   Fit: 0.2532272  Orgs: 100     
UD: 9300    Gen: 791.2000   Fit: 0.2498534  Orgs: 100     
UD: 9400    Gen: 799.0900   Fit: 0.2483029  Orgs: 100     
UD: 9500    Gen: 806.9400   Fit: 0.2487187  Orgs: 100     
UD: 9600    Gen: 815.4400   Fit: 0.2504117  Orgs: 100     
UD: 9700    Gen: 824.1600   Fit: 0.2502754  Orgs: 100     
UD: 9800    Gen: 833.1818   Fit: 0.2514261  Orgs: 99      
UD: 9900    Gen: 841.5200   Fit: 0.2521651  Orgs: 100     
UD: 10000   Gen: 850.0800   Fit: 0.2490392  Orgs: 100     
