{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 10, 'y': 10}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 61822790
Data Directory: /Users/albertzhang/GitHub/avida/cbuild/work/data/

UD: 4600    Gen: 370.0300   Fit: 0.2607641  Orgs: 100     Merit: 97.76000   Thrd: 100     Para: 0  
UD: 4700    Gen: 378.2000   Fit: 0.2537148  Orgs: 100     Merit: 96.38000   Thrd: 100     Para: 0  
UD: 4800    Gen: 386.2600   Fit: 0.2595478  Orgs: 100     Merit: 98.82000   Thrd: 100     Para: 0  
UD: 4900    Gen: 394.4900   Fit: 0.2565745  Orgs: 100     Merit: 99.28000   Thrd: 100     Para: 0  
UD: 5000    Gen: 402.6100   Fit: 0.2616139  Orgs: 100     Merit: 99.59000   Thrd: 100     Para: 0  
UD: 5100    Gen: 411.7200   Fit: 0.2746476  Orgs: 100     Merit: 100.2600   Thrd: 100     Para: 0  
UD: 5200    Gen: 420.8400   Fit: 0.2818068  Orgs: 100     Merit: 101.7000   Thrd: 100     Para: 0  
UD: 5300    Gen: 429.1300   Fit: 0.2854611  Orgs: 100     Merit: 101.4300   Thrd: 100     Para: 0  
UD: 5400    Gen: 440.7500   Fit: 0.3028312  Orgs: 100     Merit: 96.61000   Thrd: 100     Para: 0  
UD: 5500    Gen: 449.9000   Fit: 0.3415564  Orgs: 100     Merit: 100.3700   Thrd: 100     Para: 0  
UD: 5600    Gen: 461.7600   Fit: 0.3492536  Orgs: 100     Merit: 99.89000   Thrd: 100     Para: 0  
UD: 5700    Gen: 471.8600   Fit: 0.3332879  Orgs: 100     Merit: 99.06000   Thrd: 100     Para: 0  
UD: 5800    Gen: 481.6700   Fit: 0.3372002  Orgs: 100     Merit: 98.10000   Thrd: 100     Para: 0  
UD: 5900    Gen: 493.4300   Fit: 0.3505127  Orgs: 100     Merit: 99.23000   Thrd: 100     Para: 0  
UD: 6000    Gen: 505.1800   Fit: 0.3405899  Orgs: 100     Merit: 97.95000   Thrd: 100     Para: 0  
UD: 6100    Gen: 516.5700   Fit: 0.3474210  Orgs: 100     Merit: 99.51000   Thrd: 100     Para: 0  
UD: 6200    Gen: 526.8900   Fit: 0.3336677  Orgs: 100     Merit: 99.58000   Thrd: 100     Para: 0  
UD: 6300    Gen: 536.8500   Fit: 0.3184936  Orgs: 100     Merit: 98.31000   Thrd: 100     Para: 0  
UD: 6400    Gen: 546.4800   Fit: 0.3207301  Orgs: 100     Merit: 96.95000   Thrd: 100     Para: 0  
UD: 6500    Gen: 560.0300   Fit: 0.3381961  Orgs: 100     Merit: 96.77000   Thrd: 100     Para: 0  
UD: 6600    Gen: 570.7200   Fit: 0.3323455  Orgs: 100     Merit: 95.21000   Thrd: 100     Para: 0  
UD: 6700    Gen: 583.2200   Fit: 0.3366499  Orgs: 100     Merit: 95.22000   Thrd: 100     Para: 0  
UD: 6800    Gen: 593.1300   Fit: 0.3150112  Orgs: 100     Merit: 93.25000   Thrd: 100     Para: 0  
UD: 6900    Gen: 605.7800   Fit: 0.3295627  Orgs: 100     Merit: 94.27000   Thrd: 100     Para: 0  
UD: 7000    Gen: 616.5100   Fit: 0.3443073  Orgs: 100     Merit: 96.44000   Thrd: 100     Para: 0  
UD: 7100    Gen: 628.0200   Fit: 0.3469210  Orgs: 100     Merit: 97.33000   Thrd: 100     Para: 0  
UD: 7200    Gen: 639.7000   Fit: 0.3376900  Orgs: 100     Merit: 95.40000   Thrd: 100     Para: 0  
UD: 7300    Gen: 650.5100   Fit: 0.3428868  Orgs: 100     Merit: 96.35000   Thrd: 100     Para: 0  
UD: 7400    Gen: 661.0900   Fit: 0.3320992  Orgs: 100     Merit: 95.08000   Thrd: 100     Para: 0  
UD: 7500    Gen: 672.1010   Fit: 0.3409126  Orgs: 99      Merit: 95.80808   Thrd: 99      Para: 0  
UD: 7600    Gen: 683.9300   Fit: 0.3435116  Orgs: 100     Merit: 95.68000   Thrd: 100     Para: 0  
UD: 7700    Gen: 694.0700   Fit: 0.3398896  Orgs: 100     Merit: 95.31000   Thrd: 100     Para: 0  
UD: 7800    Gen: 705.5400   Fit: 0.3232955  Orgs: 100     Merit: 95.73000   Thrd: 100     Para: 0  
UD: 7900    Gen: 716.9596   Fit: 0.3490190  Orgs: 99      Merit: 96.85859   Thrd: 99      Para: 0  
UD: 8000    Gen: 728.3700   Fit: 0.3390891  Orgs: 100     Merit: 97.51000   Thrd: 100     Para: 0  
UD: 8100    Gen: 740.0300   Fit: 0.3398725  Orgs: 100     Merit: 95.82000   Thrd: 100     Para: 0  
UD: 8200    Gen: 750.6667   Fit: 0.3335126  Orgs: 99      Merit: 95.14141   Thrd: 99      Para: 0  
UD: 8300    Gen: 761.6122   Fit: 0.3444040  Orgs: 98      Merit: 97.74490   Thrd: 98      Para: 0  
UD: 8400    Gen: 772.4900   Fit: 0.3434741  Orgs: 100     Merit: 96.98000   Thrd: 100     Para: 0  
UD: 8500    Gen: 783.3200   Fit: 0.3358532  Orgs: 100     Merit: 95.36000   Thrd: 100     Para: 0  
UD: 8600    Gen: 793.8800   Fit: 0.3196717  Orgs: 100     Merit: 97.12000   Thrd: 100     Para: 0  
UD: 8700    Gen: 804.9900   Fit: 0.3376767  Orgs: 100     Merit: 98.03000   Thrd: 100     Para: 0  
UD: 8800    Gen: 816.2200   Fit: 0.3308624  Orgs: 100     Merit: 94.62000   Thrd: 100     Para: 0  
UD: 8900    Gen: 827.8900   Fit: 0.3426506  Orgs: 100     Merit: 97.37000   Thrd: 100     Para: 0  
UD: 9000    Gen: 839.1900   Fit: 0.3523788  Orgs: 100     Merit: 97.92000   Thrd: 100     Para: 0  
UD: 9100    Gen: 850.3800   Fit: 0.3493675  Orgs: 100     Merit: 96.90000   Thrd: 100     Para: 0  
UD: 9200    Gen: 861.1100   Fit: 0.3472851  Orgs: 100     Merit: 95.98000   Thrd: 100     Para: 0  
UD: 9300    Gen: 871.9600   Fit: 0.3334199  Orgs: 100     Merit: 95.70000   Thrd: 100     Para: 0  
UD: 9400    Gen: 882.9100   Fit: 0.3431983  Orgs: 100     Merit: 96.13000   Thrd: 100     Para: 0  
UD: 9500    Gen: 893.9100   Fit: 0.3467909  Orgs: 100     Merit: 96.97000   Thrd: 100     Para: 0  
UD: 9600    Gen: 904.4300   Fit: 0.3391715  Orgs: 100     Merit: 97.24000   Thrd: 100     Para: 0  
UD: 9700    Gen: 915.5000   Fit: 0.3319258  Orgs: 100     Merit: 97.48000   Thrd: 100     Para: 0  
UD: 9800    Gen: 926.5600   Fit: 0.3467943  Orgs: 100     Merit: 96.81000   Thrd: 100     Para: 0  
UD: 9900    Gen: 937.4800   Fit: 0.3360813  Orgs: 100     Merit: 94.26000   Thrd: 100     Para: 0  
UD: 10000   Gen: 948.5152   Fit: 0.3312925  Orgs: 99      Merit: 90.94949   Thrd: 99      Para: 0  
