{'NOT': 1.0, 'NAND': 1.0, 'AND': 2.0, 'ORN': 2.0, 'OR': 3.0, 'ANDN': 3.0, 'NOR': 4.0, 'XOR': 4.0, 'EQU': 5.0}
{'x': 120, 'y': 120}
Avida 2.14.0
--------------------------------------------------------------------------------
by Charles Ofria
Lead Developer: David M. Bryson

Active developers include:
Aaron P. Wagner and Anya E. Johnson
For a more complete list of contributors, see the AUTHORS file.

Copyright 1999-2014 Michigan State University.
Copyright 1993-2003 California Institute of Technology.

Avida comes with ABSOLUTELY NO WARRANTY.
This is free software, and you are welcome to redistribute it under certain
conditions. See file COPYING for details.

For more information, see: http://avida.devosoft.org/
--------------------------------------------------------------------------------

Random Seed: -1 -> 66459030

UD: 7600    Gen: 2009.713   Fit: 361509.6   Orgs: 14360   
UD: 7700    Gen: 2024.316   Fit: 366784.0   Orgs: 14348   
UD: 7800    Gen: 2038.921   Fit: 375758.1   Orgs: 14355   
UD: 7900    Gen: 2053.016   Fit: 366867.5   Orgs: 14362   
UD: 8000    Gen: 2067.890   Fit: 367605.5   Orgs: 14355   
UD: 8100    Gen: 2083.820   Fit: 370045.5   Orgs: 14365   
UD: 8200    Gen: 2100.248   Fit: 378728.4   Orgs: 14363   
UD: 8300    Gen: 2115.420   Fit: 384894.0   Orgs: 14360   
UD: 8400    Gen: 2130.249   Fit: 377376.9   Orgs: 14356   
UD: 8500    Gen: 2147.695   Fit: 385237.9   Orgs: 14357   
UD: 8600    Gen: 2165.130   Fit: 391367.5   Orgs: 14360   
UD: 8700    Gen: 2182.008   Fit: 388663.8   Orgs: 14349   
UD: 8800    Gen: 2197.470   Fit: 390566.5   Orgs: 14360   
UD: 8900    Gen: 2212.847   Fit: 392158.2   Orgs: 14369   
UD: 9000    Gen: 2228.405   Fit: 398974.4   Orgs: 14353   
UD: 9100    Gen: 2246.078   Fit: 400806.0   Orgs: 14358   
UD: 9200    Gen: 2261.396   Fit: 402192.9   Orgs: 14352   
UD: 9300    Gen: 2279.030   Fit: 406278.3   Orgs: 14368   
UD: 9400    Gen: 2298.298   Fit: 405541.1   Orgs: 14347   
UD: 9500    Gen: 2315.683   Fit: 409690.1   Orgs: 14362   
UD: 9600    Gen: 2332.972   Fit: 423785.7   Orgs: 14370   
UD: 9700    Gen: 2351.518   Fit: 415392.3   Orgs: 14365   
UD: 9800    Gen: 2369.284   Fit: 423334.7   Orgs: 14360   
UD: 9900    Gen: 2385.014   Fit: 423922.0   Orgs: 14368   
UD: 10000   Gen: 2401.341   Fit: 427232.6   Orgs: 14362   
