# Avida Average Data
# Tue Apr 11 17:31:10 2023
#  1: Update
#  2: Merit
#  3: Gestation Time
#  4: Fitness
#  5: Repro Rate?
#  6: (deprecated) Size
#  7: Copied Size
#  8: Executed Size
#  9: (deprecated) Abundance
# 10: Proportion of organisms that gave birth in this update
# 11: Proportion of Breed True Organisms
# 12: (deprecated) Genotype Depth
# 13: Generation
# 14: Neutral Metric
# 15: Lineage Label
# 16: True Replication Rate (based on births/update, time-averaged)

4500 4025.29 378.35 10.8594 0 0 99.61 93.25 0 0.06 0.05 0 447.4 39.3104 0 4.21353 
4600 4864.42 370.83 13.1036 0 0 100.38 94.48 0 0.04 0.02 0 460.5 36.4731 0 5.42505 
4700 5102.46 375.68 13.7031 0 0 101.62 95.83 0 0.04 0.01 0 470.5 36.7074 0 6.80454 
4800 5543.86 370.75 14.9496 0 0 102.2 96.57 0 0.11 0.05 0 479.9 34.9627 0 7.82632 
4900 5377.03 370.77 14.5456 0 0 102.02 97.08 0 0.06 0.04 0 490.93 31.5838 0 8.30355 
5000 5980.88 362.01 16.4682 0 0 100.78 93.6 0 0.05 0.02 0 501.85 30.5049 0 8.96967 
5100 6495.93 368.07 17.348 0 0 100.23 94.2 0 0.06 0.04 0 512.1 29.523 0 9.57076 
5200 6710.08 362.49 18.4658 0 0 99.79 93.1 0 0.05 0.03 0 538.34 26.2268 0 10.1153 
5300 6237.69 363.01 17.118 0 0 99.1327 93.7551 0 0.0102041 0.0102041 0 554.408 25.5231 0 10.474 
5400 15120.9 372.83 40.6778 0 0 99.22 93.73 0 0.08 0.02 0 576.97 27.556 0 12.4267 
5500 16527 364.49 45.2732 0 0 98 92.19 0 0.03 0.01 0 592.99 26.9059 0 16.2308 
5600 19208.9 370.354 51.9334 0 0 100.394 94.8182 0 0.030303 0.020202 0 603.687 26.6487 0 20.1803 
5700 20908.2 372.42 56.8526 0 0 99 93.24 0 0.02 0.01 0 614.28 24.1019 0 24.6221 
5800 19907.3 368.27 54.0371 0 0 100.15 94.79 0 0.03 0.01 0 624.86 23.0406 0 29.0953 
5900 18960.5 365.63 51.9367 0 0 99.82 94.15 0 0.06 0.02 0 635.33 23.1753 0 31.8052 
6000 19515 363.3 53.7293 0 0 98.56 93.18 0 0.03 0.01 0 645.99 19.6094 0 32.3569 
6100 17768.9 363.11 49.3323 0 0 96.61 89.7 0 0.03 0 0 656.78 17.2352 0 33.0149 
6200 20937.2 359.43 58.2114 0 0 97.93 92.18 0 0.05 0.02 0 667.06 18.0586 0 33.1949 
6300 17205.2 357.94 48.0047 0 0 97.44 91.05 0 0.04 0.03 0 676.89 16.1752 0 33.3332 
6400 19022 360.5 52.6931 0 0 97.24 91.11 0 0.03 0.02 0 688.05 16.7859 0 33.367 
6500 18325.4 357.75 51.2958 0 0 97.35 92.39 0 0.04 0.02 0 699.13 16.2933 0 33.1366 
6600 18326.7 357.59 51.1891 0 0 97.2 92.07 0 0.04 0.03 0 710.29 21.987 0 32.8441 
6700 19072.7 361.909 52.8 0 0 97.3636 92.6768 0 0.0505051 0.030303 0 721.879 21.4249 0 32.0413 
6800 18726.2 357.13 52.402 0 0 97.02 92.22 0 0.02 0.01 0 732.33 21.168 0 32.227 
6900 17711.2 359.53 49.1245 0 0 96.31 90.64 0 0.06 0.04 0 743.69 21.6659 0 31.7867 
7000 17927.9 375.88 48.4495 0 0 98.67 94.78 0 0.05 0.01 0 754.26 21.8275 0 31.6321 
7100 20933.5 360.03 58.1993 0 0 96.05 91.7 0 0.06 0 0 765.64 25.5517 0 31.5623 
7200 17933.9 356.43 50.2282 0 0 94.71 88.15 0 0.08 0.05 0 775.2 28.4243 0 32.4619 
7300 18941.5 359.374 52.5554 0 0 96.5354 91.2828 0 0.0909091 0.030303 0 785.323 25.963 0 32.5532 
7400 19208.2 359.25 53.2911 0 0 96.79 92.31 0 0.08 0.01 0 795.36 32.515 0 33.3375 
7500 17736.6 355.636 49.4828 0 0 96.2323 91.0909 0 0.020202 0 0 805.99 29.4313 0 34.1627 
