# Avida Dominant Data
# Sat Mar  4 17:31:28 2023
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

4900 57507.8 554.92 103.635 0.00180207 120 120 0 8 1 1 218 0 105.548 473830 120-aabek 
5000 56320 428 131.589 0.00233645 118 118 0 9 6 1 219 0 131.589 490617 118-aaake 
5100 58675.2 523.029 149.863 0.00256475 121 121 0 13 1 0 225 0 181.728 477089 121-aabot 
5200 52224 482 108.349 0.00207469 108 108 0 10 0 0 231 0 108.349 502202 108-aaazc 
5300 25856 372 69.5054 0.00268817 105 105 0 7 0 0 220 0 69.5054 482159 105-aaayo 
5400 59392 440 134.982 0.00227273 121 121 0 8 0 0 224 0 134.982 517364 121-aabzd 
5500 52224 486 107.457 0.00205761 108 108 0 8 0 0 231 0 107.457 530829 108-aabbo 
5600 113017 427.368 264.447 0.00233991 120 120 0 11 2 0 246 0 267.338 551533 120-aacch 
5700 50176 376 133.447 0.00265957 103 103 0 9 0 0 223 0 133.447 541294 103-aabdw 
5800 60416 448 134.857 0.00223214 124 124 0 9 0 0 235 0 134.857 564811 124-aabar 
5900 56832 435 130.648 0.00229885 119 119 0 8 4 3 230 0 130.648 568283 119-aabfr 
6000 49971.2 375.6 133.043 0.00266241 103 103 0 9 0 0 228 0 133.447 584801 103-aabfv 
6100 232554 441.552 526.668 0.00226475 123 123 0 8 1 1 271 0 531.648 602590 123-aacdf 
6200 114263 439.585 259.931 0.00227488 120 120 0 10 0 0 256 0 262.385 605126 120-aaczm 
6300 114278 439.6 259.957 0.00227481 120 120 0 7 0 0 256 0 262.385 605126 120-aaczm 
6400 115712 444 260.613 0.00225225 120 120 0 7 0 0 262 0 260.613 629145 120-aadfx 
6500 121685 451 269.812 0.00221729 125 125 0 8 0 0 252 0 270.191 637398 125-aaaoo 
6600 225941 440.323 513.121 0.00227107 121 121 0 10 2 0 282 0 518.95 651058 121-aadzu 
6700 221184 436 507.303 0.00229358 117 117 0 9 1 1 288 0 507.303 659763 117-aaasp 
